Club,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Adelaide,,,,,,,,25087.0,38673.0,40100.0,40611.0,41645.0,42283.0,41395.0,41985.0,42120.0,42896.0,42014.0,46620.0,47097.0,45642.0,43256.0,50138.0,50976.0,48720.0,46472.0,45515.0,46520.0,46005,46405,54249,52920,54307,56865,64379,64437,54891,60232,63009,68536,75477
Brisbane,,,,3449.0,7607.0,7716.0,5630.0,5696.0,5401.0,5750.0,6158.0,6158.0,10267.0,16769.0,16108.0,16931.0,20295.0,18330.0,22288.0,24365.0,30221.0,28913.0,26459.0,21976.0,22737.0,24873.0,26779.0,22338.0,20762,24130,24012,25408,23286,21362,24867,28023,29277,40289,43139,54676,63268
Carlton,12774.0,13317.0,14905.0,9227.0,11936.0,10060.0,10978.0,12736.0,12354.0,14445.0,18308.0,18308.0,23276.0,24984.0,25402.0,25719.0,27571.0,27725.0,26385.0,33525.0,32095.0,33534.0,28756.0,35431.0,39360.0,42408.0,40480.0,43971.0,45440,50564,47485,47305,50130,50326,56005,64269,67035,81302,88776,95277,106345
Collingwood,16313.0,16857.0,13971.0,9500.0,11985.0,13620.0,14808.0,18469.0,18921.0,21882.0,20843.0,20843.0,20752.0,22761.0,27099.0,32358.0,28932.0,31455.0,32549.0,40455.0,41128.0,38612.0,38038.0,38587.0,42498.0,45972.0,48408.0,71796.0,72688,78427,79347,75037,74643,75879,75507,85226,76862,82527,100384,106470,110628
Essendon,10231.0,11376.0,12607.0,8129.0,8432.0,7958.0,11046.0,11593.0,10034.0,11546.0,19720.0,19720.0,24324.0,28063.0,27099.0,29858.0,34278.0,36227.0,35219.0,31970.0,32998.0,32734.0,32511.0,32759.0,41947.0,40412.0,40589.0,50275.0,47708,56173,60626,60818,57494,67768,79319,84237,66686,81662,86001,86274,83664
Fremantle,,,,,,,,,,,,18456.0,19622.0,19949.0,22186.0,24896.0,24925.0,23898.0,23775.0,25368.0,32780.0,34178.0,35666.0,43343.0,43366.0,39206.0,39854.0,43975.0,42918,43880,48777,51433,51889,51254,55639,51431,51577,50342,56105,62064,62237
Geelong,7709.0,7718.0,6985.0,6981.0,9667.0,7760.0,15087.0,11356.0,13535.0,15500.0,14312.0,15922.0,17346.0,18858.0,19971.0,21032.0,25595.0,25420.0,23756.0,24017.0,25021.0,30821.0,32290.0,30169.0,36850.0,37160.0,40326.0,39426.0,40205,42884,43803,44312,50571,54854,63818,65063,60066,70293,71943,82155,90798
Gold Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,11270.0,11204,12502,13478,13643,12854,11665,12108,13649,16236,19460,21422,23359,26157
G.Western Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10241,12681,13040,13480,15312,20944,25243,30109,30841,30185,32614,33036,36629
Hawthorn,8051.0,7713.0,7335.0,6516.0,7099.0,8520.0,9882.0,10006.0,12368.0,11388.0,11245.0,12728.0,12484.0,27005.0,27649.0,32120.0,26879.0,30140.0,33319.0,31500.0,31255.0,29261.0,28003.0,31064.0,41436.0,52496.0,53978.0,59142.0,60841,63353,68650,72924,75351,75663,80302,81211,76343,77079,81494,80698,83823
Melbourne,6297.0,5801.0,4511.0,3122.0,10078.0,8184.0,10111.0,10153.0,8681.0,10097.0,10648.0,9544.0,12964.0,15336.0,17870.0,19713.0,18227.0,21409.0,20152.0,20555.0,20647.0,24805.0,24698.0,27777.0,29619.0,31506.0,33358.0,36937.0,35459,33177,35911,35953,39146,42233,44275,52421,40571,53188,66484,70785,65479
North Melbourne,6374.0,6520.0,5318.0,3430.0,4415.0,3411.0,5201.0,6683.0,6083.0,6851.0,10296.0,14027.0,14438.0,19368.0,20196.0,22080.0,22156.0,22940.0,20831.0,21403.0,23420.0,24154.0,24624.0,22366.0,32600.0,28340.0,26953.0,29914.0,33423,34607,39060,41012,45014,40343,40789,42419,38667,46357,49250,51084,50628
Port Adelaide,,,,,,,,,,,,,,35809.0,38305.0,37166.0,34925.0,33296.0,36229.0,35425.0,36340.0,36834.0,35648.0,34073.0,34185.0,30605.0,29092.0,36624.0,35543,39838,48968,54057,53743,52129,54386,51951,46820,56532,58643,64041,66015
Richmond,6822.0,7137.0,5772.0,2825.0,3154.0,3607.0,4974.0,8377.0,8158.0,9918.0,8229.0,14647.0,20308.0,24975.0,27092.0,29047.0,26869.0,26501.0,27251.0,25101.0,27133.0,28029.0,29406.0,30044.0,30820.0,36981.0,32960.0,47655.0,53027,60321,66122,70809,72278,72669,100726,103358,100420,105084,100792,101349,98489
St Kilda,4930.0,5708.0,4321.0,3924.0,5799.0,8360.0,11361.0,9785.0,11650.0,12956.0,12009.0,8870.0,14375.0,16610.0,23204.0,20793.0,17855.0,22248.0,17696.0,23626.0,30534.0,32043.0,32327.0,30394.0,30063.0,31906.0,39021.0,39276.0,35440,32707,30739,32746,38009,42052,46301,43038,48588,55802,60172,60239,60467
Sydney,2750.0,2777.0,4927.0,3594.0,2516.0,2631.0,2624.0,2907.0,3020.0,3097.0,3327.0,6088.0,9525.0,22109.0,31089.0,31175.0,30177.0,28022.0,27755.0,21270.0,25010.0,24955.0,30382.0,28764.0,26721.0,26269.0,28671.0,34679.0,29873,36358,40126,48836,56523,58838,60934,61912,48322,50144,55934,65332,73757
West Coast,,,,2800.0,8480.0,9223.0,10450.0,17636.0,29302.0,25779.0,24265.0,26821.0,26663.0,33286.0,37496.0,36212.0,38868.0,38649.0,34880.0,36234.0,40792.0,42406.0,44138.0,45949.0,44863.0,43927.0,44160.0,54040.0,57377,58501,58529,60221,65188,65064,80290,90445,100776,106422,102897,103275,103498
Western Bulldogs,6491.0,8030.0,8433.0,3452.0,5351.0,5168.0,10983.0,9598.0,9311.0,11478.0,9339.0,12212.0,10650.0,15054.0,20064.0,20491.0,18056.0,19085.0,20838.0,21260.0,19295.0,21974.0,26042.0,28725.0,28306.0,28215.0,32077.0,32026.0,30007,30209,31538,35222,39459,47653,43246,44373,38876,46541,50941,56302,62328
